region,dong,elderly,poverty,lat,lng
강서구,가양1동,4069.0,290,,
강서구,가양2동,4904.0,3287,37.5684,126.855
강서구,가양3동,4157.0,2273,37.5623,126.8623
강서구,공항동,4855.0,1707,,
강서구,등촌1동,3596.0,305,,
강서구,등촌2동,3927.0,451,,
강서구,등촌3동,8205.0,5548,37.5604,126.8569
강서구,발산1동,6043.0,1353,,
강서구,방화1동,7610.0,1150,,
강서구,방화2동,5851.0,1612,37.5694,126.8126
강서구,방화3동,6212.0,2193,37.5802,126.8143
강서구,염창동,5519.0,244,,
강서구,우장산동,7339.0,670,,
강서구,화곡1동,10223.0,2001,37.5367,126.8373
강서구,화곡2동,3418.0,954,,
강서구,화곡3동,4994.0,650,,
강서구,화곡4동,4657.0,1185,,
강서구,화곡6동,4904.0,976,,
강서구,화곡8동,5214.0,1096,,
강서구,화곡본동,6017.0,1824,37.5441,126.8458
관악구,낙성대동,2211.0,439,,
관악구,난곡동,6277.0,2078,37.4705,126.9234
관악구,난향동,3223.0,634,,
관악구,남현동,3332.0,345,,
관악구,대학동,3567.0,1274,,
관악구,미성동,6926.0,1343,,
관악구,보라매동,5236.0,1111,,
관악구,삼성동,6220.0,1637,37.4682,126.9304
관악구,서림동,4146.0,1194,,
관악구,서원동,3777.0,880,,
관악구,성현동,6300.0,1537,37.4912,126.9501
관악구,신림동,2183.0,854,37.4862,126.927
관악구,신사동,4161.0,1237,,
관악구,신원동,3658.0,1083,,
관악구,은천동,6713.0,1650,37.4855,126.9427
관악구,인헌동,4594.0,758,,
관악구,조원동,3604.0,687,,
관악구,중앙동,2642.0,596,,
관악구,청룡동,5309.0,1137,37.4795,126.9443
관악구,청림동,3134.0,612,,
관악구,행운동,4903.0,1049,,
노원구,공릉1동,7792.0,2396,37.625,127.073
노원구,공릉2동,6847.0,981,,
노원구,상계10동,3268.0,426,,
노원구,상계1동,8912.0,1907,37.6796,127.0549
노원구,상계2동,4176.0,1009,37.6609,127.0708
노원구,상계3.4동,7115.0,2582,37.6716,127.0805
노원구,상계5동,5956.0,1969,37.6669,127.0673
노원구,상계6.7동,5826.0,1071,,
노원구,상계8동,3481.0,368,,
노원구,상계9동,4193.0,503,,
노원구,월계1동,4684.0,889,37.6253,127.0614
노원구,월계2동,6814.0,3204,,
노원구,월계3동,7044.0,2041,,
노원구,중계1동,3048.0,820,,
노원구,중계4동,4529.0,1847,37.6534,127.082
노원구,중계본동,2875.0,612,,
노원구,하계1동,5373.0,2938,,
노원구,하계2동,3453.0,1236,,
은평구,갈현1동,3434.0,1845,37.6225,126.9137
은평구,갈현2동,5989.0,1443,,
은평구,구산동,7263.0,1545,37.6121,126.9077
은평구,녹번동,8308.0,1702,,
은평구,대조동,5847.0,1585,,
은평구,불광1동,8805.0,1842,37.6166,126.9328
은평구,불광2동,6969.0,2235,,
은평구,수색동,3629.0,549,,
은평구,신사1동,6078.0,1075,,
은평구,신사2동,4472.0,1190,,
은평구,역촌동,10233.0,2348,37.6052,126.9174
은평구,응암1동,6153.0,1134,37.6006,126.9238
은평구,응암2동,4604.0,1078,,
은평구,응암3동,6361.0,1917,,
은평구,증산동,3372.0,675,,
은평구,진관동,10085.0,1417,,
중랑구,망우3동,4084.0,1890,37.5956,127.0989
중랑구,망우본동,8260.0,2304,,
중랑구,면목2동,5592.0,1724,,
중랑구,면목4동,4394.0,1767,37.5857,127.0934
중랑구,면목5동,2802.0,805,,
중랑구,면목7동,5190.0,1131,,
중랑구,면목본동,7268.0,2469,,
중랑구,묵1동,7060.0,1249,,
중랑구,묵2동,4311.0,1080,,
중랑구,상봉1동,4810.0,1712,,
중랑구,상봉2동,3615.0,1092,,
중랑구,신내1동,8408.0,1932,37.6062,127.0932
중랑구,신내2동,4903.0,1416,,
중랑구,중화1동,4378.0,1084,,
중랑구,중화2동,6120.0,2507,,